,precision,recall,f1-score,support
BAS,1.0,0.9367088607594937,0.9673202614379084,79.0
EBO,0.9873417721518988,1.0,0.9936305732484078,78.0
EOS,1.0,0.975,0.9873417721518987,80.0
KSC,0.9493670886075949,0.9615384615384616,0.9554140127388535,78.0
LYA,0.918918918918919,0.85,0.8831168831168831,80.0
LYT,0.7291666666666666,0.875,0.7954545454545454,80.0
MMZ,0.8947368421052632,0.8717948717948718,0.8831168831168831,78.0
MOB,0.9625,0.9871794871794872,0.9746835443037976,78.0
MON,0.8961038961038961,0.8625,0.8789808917197451,80.0
MYB,0.9310344827586207,0.7105263157894737,0.8059701492537312,76.0
MYO,0.8933333333333333,0.8375,0.8645161290322579,80.0
NGB,0.8026315789473685,0.9242424242424242,0.8591549295774648,66.0
NGS,0.974025974025974,0.9375,0.9554140127388535,80.0
PMB,0.972972972972973,0.9,0.935064935064935,80.0
PMO,0.6888888888888889,0.8857142857142857,0.775,70.0
accuracy,0.9011177987962167,0.9011177987962167,0.9011177987962167,0.9011177987962167
macro avg,0.9067348276987597,0.9010136471345667,0.900945301530411,1163.0
weighted avg,0.909410174469128,0.9011177987962167,0.9024516783638348,1163.0
